title,price,asin
Proofiness: How You're Being Fooled by the Numbers,29.561515151515152,0143120077
Expedition to Earth,8.586923076923076,0345430735
"The Otter, the Spotted Frog & the Great Flood: A Creek Indian Story",12.858421052631579,1937786129
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),17.866451612903226,034580404X
"Intro to Paleo: Quick-Start Diet Guide to Burn Fat, Lose Weight, and Build Muscle",3.165909090909091,B0089F60FW
Kush and Cologne 2,3.19,B00BSXNZFU
The Body Electric: Electromagnetism And The Foundation Of Life,16.196363636363635,0688069711
Seven Dials (Charlotte and Thomas Pitt),11.857037037037037,0345440072
"Heidegger and a Hippo Walk Through Those Pearly Gates: Using Philosophy (and Jokes!) to Explore Life, Death, the Afterlife, and Everything in Between",10.99,0670020834
The Charm (Olivia Hart and the Gifted Program Book 1),2.9012499999999997,B006LE44HE
Amethyst (#1 of the Guardian series),1.6191666666666666,B009TKS6ZS
The Street Life: The Street Life,10.996666666666666,1484865472
Fatal System Error: The Hunt for the New Crime Lords Who are Bringing Down the Internet,10.938181818181818,1586487485
Red Flags,2.2289473684210526,B00AIB1XCA
On the Soul of a Vampire,12.239999999999998,1451509286
Untimely (An Untimely Romance) (Volume 1),6.33,1494893452
Olga - A Daughter's Tale,3.391363636363636,B004J4W024
"Simon Says (SBC Fighters, Book 2)",7.001612903225807,0425216586
The Rift,7.074,0061057940
Pick Your Poison (Yellow Rose Mysteries),5.811290322580645,045121031X
Justice for Sara: A Novel,9.934583333333332,125001252X
"Final Touch (The Rayne Tour, Book 3)",9.068888888888889,031071933X
"Making Handmade Books: 100+ Bindings, Structures & Forms",13.299285714285714,1600595871
Talking About Detective Fiction,13.968399999999999,0307592820
London Is the Best City in America,10.080769230769231,0670037567
The Count of Monte Cristo as Retold by Sherlock Holmes,10.255,1490927301
Savage Awakening: An Alpha Pack Novel,9.178,0451236440
Aphrodite's Kiss (Protector),4.6463636363636365,0505524384
Influencer: The Power to Change Anything,15.985142857142858,007148499X
"Saunders Comprehensive Review for the NCLEX-RN Examination, 5th Edition",31.19457142857143,1437708250
Makers: The New Industrial Revolution,16.262083333333333,0307720950
Belong to Me (A Wicked Lovers Novel),12.468,042524315X
Scenes From Sistah,5.093,0446521000
"The Lighthouse, No. 13 (Adam Dalgliesh mysteries)",27.6,030726291X
Lion of Babylon (Marc Royce),10.372,0764209051
The Dog in the Dark: A Novel of the Noble Dead,14.535,0451464931
Well of the Damned (The Kinshield Saga) (Volume 3),13.202857142857143,1482020750
Her Wolf: The Westervelt Wolves Book 1,5.033333333333333,1456568388
The Transparent Tarot (with cards),29.165925925925926,0764330039
Lush Life: A Novel,11.0640625,0312428227
The Survival of the Soul,13.875909090909092,1401928048
Apocalypsis: Book 3 (Exodus) (Volume 3),21.315714285714286,0985607122
64 (Mike Gallagher Mystery Series Book 1),4.323333333333333,B00E1IAQXS
Magic Dreams: A Penguin Special from Ace (Kate Daniels),3.816086956521739,B007HU7NXS
A Double Death on the Black Isle: A Novel (The Highland Gazette Mystery Series),9.193870967741935,1439154945
Forever in Darkness (Order of the Blade),4.19,B008NBYHPC
The Water-Method Man,11.8192,0345367421
The Human Division #12: The Gentle Art of Cracking Heads,2.6826923076923075,B00AF62F48
We the Living: Anniversary Edition,10.299285714285714,0451187849
Frommer's Florida 2012 (Frommer's Color Complete),4,1118045998
The Black Flower: A Novel of the Civil War,14.314444444444444,0312265077
"Becoming His Muse, Part One",1.6823076923076923,B00J5NRLAA
Nursing A Grudge,5.99,149293402X
Roger Ailes: Off Camera,13.42421052631579,1595230955
The Mercy Thompson Collection Books 1-5 (A Mercy Thompson Novel),6.51,B0058E8U8C
The Ides of April: A Flavia Albia Mystery (Flavia Albia Series),12.544062499999999,1250023696
New Interpreter's® Study Bible on CDROM: New Revised Standard Version with Apocrypha; includes 5 vol. Interpreter's Dictionary of the Bible,22.908125,068702496X
Knight's Move,3.2108695652173913,B00FO6WWS8
The UnTied Kingdom,8.3775,1906931682
Pie: 300 Tried-and-True Recipes for Delicious Homemade Pie,17.192941176470587,1558322531
Wrestling For Dummies,13.459655172413793,1118117972
The Prodigal Prophet,11.875555555555556,1460943503
The Athena Project: A Thriller (Thorndike Press Large Print Basic Series),155.4908695652174,1410436349
"Strength Training Anatomy Workout II, The (The Strength Training Anatomy Workout)",12.299285714285714,1450419895
Darkhouse,9.519354838709678,1461079853
Making Rumours: The Inside Story of the Classic Fleetwood Mac Album,15.484838709677419,1118218086
Voodoo Science: The Road from Foolishness to Fraud,16.182727272727274,0195135156
William and Harry: Behind the Palace Walls,16.02263157894737,1602861404
Another Roadside Attraction,11.045,0553349481
"Holly and Mistletoe (Hometown Heartbreakers) (Silhouette Special Edition, No 1071)",3.6829411764705884,0373240716
"Thrive: The Third Metric to Redefining Success and Creating a Life of Well-Being, Wisdom, and Wonder",19.720666666666666,0804140847
Shifting (Completed Series)  (A Fated Fantasy Quest Adventure Book 2),3.5654999999999997,B00570IAX2
"Undisputed: How to Become the World Champion in 1,372 Easy Steps",20.5536,0446538159
Long Time Coming (Whitfield Brides),4.596666666666667,0373830521
A Highland Heist: A Contemporary Romance (The Highland Heart Series Book 3),2.599285714285714,B00C4G79F2
Holiday Kisses,2.688695652173913,B00AHEW69M
Under the Same Sky,7.74,0425245233
Revolution,11.7544,1414307586
Poemcrazy: Freeing Your Life with Words,9.244166666666667,0609800981
A SEAL in Wolf's Clothing (SEAL Wolf),6.854230769230769,1402258909
He's Just A Friend (Soulmates Dissipate),6.714615384615384,1575669153
Vegetarian Cooking for Everyone,19.779285714285713,0767900146
The Collection,10.119583333333333,0451206096
"The Sword of Truth, Boxed Set I, Books 1-3: Wizard's First Rule, Blood of the Fold ,Stone of Tears",11.751333333333333,0812575601
The Rabbit Factory: A Lomax & Biggs Mystery,12.542,1596921749
"The Loss of the S.S. Titanic: Its Story and Its Lessons, By One of the Survivors",6.473142857142857,0618055312
Deathless Love,8.283333333333335,1479340235
Pennsylvania 1,2.6780769230769232,B00C79B08I
The Kissing List,8.76,0307951820
Betty Goes Vegan: 500 Classic Recipes for the Modern Family,13.975714285714286,1455509337
Cat's Cradle (Penguin Modern Classics),12.015,0140285601
Losing My Mind: An Intimate Look at Life with Alzheimer's,12.137333333333332,0743205650
The Last Resort: A Memoir of Zimbabwe,11.832777777777778,0307407977
The In Between,9.99,0988225115
Hungry: The Truth About Being Full,11.46,1401940021
Adapt: Why Success Always Starts with Failure,16.591515151515154,0374100969
Pagan: An MPRD Novel,9.656666666666666,1449537871
"366 Delicious Ways to Cook Rice, Beans, and Grains",11.919545454545455,0452276543
Catholic New American Bible  Revised Edition,6.682173913043479,B0054SLCOQ
The Unofficial Guide Walt Disney World 2012 (Unofficial Guides),9.775714285714285,111801233X
Pushups in the Prayer Room: Reflections from a Year Backpacking Around the World,11.260526315789473,193595332X
Steal Me,3.49,B002LZTEW2
"Blood Rebellion: Blood Destiny, Book 7",3.4903703703703703,B007FEADOC
Tailgating Guru  - 19 Must Have Tailgating Recipes - Tailgate Food At Its Best,2.9899999999999998,B0094OK3P0
Infernal Angel,8.3788,0843952032
Last Christmas (Bound Together),3.5757142857142856,B00AR3O6OG
Paleo Slow Cooker Soups and Stews: Healthy Family Gluten-Free Recipes,3.4756521739130433,B009WQ9C7A
"A Highlander's Destiny (Daughters of the Glen, Book 5)",4.50578947368421,1439144214
Bing Crosby: A Pocketful of Dreams--The Early Years 1903-1940,11.567666666666666,0316881880
At the Bride Hunt Ball,7.5633333333333335,0061355445
Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking,26.976129032258065,1449361323
101 Design Methods: A Structured Approach for Driving Innovation in Your Organization,18.645714285714284,1118083466
HIS RELUCTANT QUEEN (The Silver Series Book 7),3.5455555555555556,B00BBC3PKS
Sexus: The Rosy Crucifixion I,11.087586206896551,0802151809
"Water: The Epic Struggle for Wealth, Power, and Civilization",11.37264705882353,0060548304
The Ghost Wore Yellow Socks,14.548666666666668,1934531146
ANGEL BABY - A Sweetly Sexy Contemporary Romance!,3.2566666666666664,B005HF9CT8
Butterfly Economics: A New General Theory of Social and Economic Behavior,13.697142857142858,0375407650
Next Door Nympho,12.606428571428571,1934230316
Three Hundred Zeroes: Lessons of the heart on the Appalachian Trail.,10.604482758620689,1450557465
Dust to Dust: A Novel (Sam Kovac and Nikki Liska),7.4196875,0345547381
Beautiful Things Happen When a Woman Trusts God,9.8440625,1400202434
Crewel World (Needlecraft Mystery),6.764516129032258,0425167801
Devils in Exile: A Novel,10.183125,1416558861
The Everything Pressure Cooker Cookbook,13.153793103448276,1440500177
Mission Critical -  A Cold War Novel (Navy SEAL Grant Stevens Book 1),3.7794736842105263,B00428LBL8
The Heart's Pursuit,6.3948,0310259274
Everybody Wants You Dead,3.61625,B00ABUOUZU
My Everything,6.246666666666666,0595360238
Lake in the Clouds,10.97,0553582798
Lord's Fall (Elder Races),8.13258064516129,0425251063
Afterlife: a Fall of Angels novelette,3.0339130434782606,B00653YZ2A
Mexican Folk Art Coloring Book (Dover Design Coloring Books),6.308888888888889,0486427501
"The Good Life: Seeking Purpose, Meaning, and Truth in Your Life",10.12,0842377492
"Little Green Book of Getting Your Way: How to Speak, Write, Present, Persuade, Influence, and Sell Your Point of View to Others",11.97125,0131576070
Hot Head,11.376,1615819487
Twice Kissed,9.0684,0821779443
